poco;campo;lift;rig;procurement_inicio;intervencao_inicio;intervencao_fim;teste_72h_fim;bpd;afe_usd
P-016;La Paz;ESP;750hp;2026-09-01;2026-09-01;2026-09-13;2026-09-16;1900;1861000
P-176;La Paz;ESP;750hp;2026-09-01;2026-09-15;2026-09-27;2026-09-30;1900;1861000
P-179;La Paz;ESP;750hp;2026-09-01;2026-09-29;2026-10-11;2026-10-14;1900;1861000
P-199A;La Paz;ESP;750hp;2026-09-13;2026-10-13;2026-10-25;2026-10-28;1900;1861000
P-207;La Paz;ESP;750hp;2026-09-27;2026-10-27;2026-11-08;2026-11-11;1900;1861000
P-108;La Paz;ESP;750hp;2026-10-11;2026-11-10;2026-11-22;2026-11-25;1900;2140150
P-152;La Paz;ESP;750hp;2026-10-25;2026-11-24;2026-12-06;2026-12-09;1900;2140150
P-173;La Paz;ESP;750hp;2026-11-08;2026-12-08;2026-12-20;2026-12-23;1900;2140150
P-180;La Paz;ESP;750hp;2026-11-22;2026-12-22;2027-01-03;2027-01-06;1900;2140150
P-16;La Paz;PCP;350hp;2026-09-01;2026-09-01;2026-09-08;2026-09-11;700;1003000
P-63;La Paz;PCP;350hp;2026-09-01;2026-09-10;2026-09-17;2026-09-20;700;1003000
P-69;La Paz;PCP;350hp;2026-09-01;2026-09-19;2026-09-26;2026-09-29;700;1003000
P-76;La Paz;PCP;350hp;2026-09-01;2026-09-28;2026-10-05;2026-10-08;700;1003000
P-77;La Paz;PCP;350hp;2026-09-07;2026-10-07;2026-10-14;2026-10-17;700;1003000
P-162;La Paz;PCP;350hp;2026-09-16;2026-10-16;2026-10-23;2026-10-26;700;1003000
P-163;La Paz;PCP;350hp;2026-09-25;2026-10-25;2026-11-01;2026-11-04;700;1003000
P-181;La Paz;PCP;350hp;2026-10-04;2026-11-03;2026-11-10;2026-11-13;700;1003000
P-182;La Paz;PCP;350hp;2026-10-13;2026-11-12;2026-11-19;2026-11-22;700;1003000
P-184;La Paz;PCP;350hp;2026-10-22;2026-11-21;2026-11-28;2026-12-01;700;1003000
P-189;La Paz;PCP;350hp;2026-10-31;2026-11-30;2026-12-07;2026-12-10;700;1003000
P-190;La Paz;PCP;350hp;2026-11-09;2026-12-09;2026-12-16;2026-12-19;700;1003000
P-191;La Paz;PCP;350hp;2026-11-18;2026-12-18;2026-12-25;2026-12-28;700;1003000
P-195;La Paz;PCP;350hp;2026-11-27;2026-12-27;2027-01-03;2027-01-06;700;1003000
P-198A;La Paz;PCP;350hp;2026-12-06;2027-01-05;2027-01-12;2027-01-15;700;1003000
P-201;La Paz;PCP;350hp;2026-12-15;2027-01-14;2027-01-21;2027-01-24;700;1003000
P-204;La Paz;PCP;350hp;2026-12-24;2027-01-23;2027-01-30;2027-02-02;700;1003000
P-205;La Paz;PCP;350hp;2027-01-02;2027-02-01;2027-02-08;2027-02-11;700;1003000
DM-0010;Mara;gas_lift;350hp;2027-01-11;2027-02-10;2027-02-15;2027-02-18;475;807000
DM-0021;Mara;gas_lift;350hp;2027-01-18;2027-02-17;2027-02-22;2027-02-25;475;807000
DM-0023;Mara;gas_lift;350hp;2027-01-25;2027-02-24;2027-03-01;2027-03-04;475;807000
DM-123;Mara;gas_lift;350hp;2027-02-01;2027-03-03;2027-03-08;2027-03-11;475;807000
DMM-0002;El Moján;gas_lift;350hp;2027-02-08;2027-03-10;2027-03-15;2027-03-18;475;807000
DMM-003;El Moján;gas_lift;350hp;2027-02-15;2027-03-17;2027-03-22;2027-03-25;475;807000
P-91;La Paz;PCP;350hp;2027-02-22;2027-03-24;2027-03-31;2027-04-03;700;1103300
P-95;La Paz;PCP;350hp;2027-03-03;2027-04-02;2027-04-09;2027-04-12;700;1153450
P-161;La Paz;ESP;750hp;2026-12-06;2027-01-05;2027-01-17;2027-01-20;1900;2977600
P-61;La Paz;PCP;350hp;2027-03-12;2027-04-11;2027-04-18;2027-04-21;700;1354050
P-82;La Paz;PCP;350hp;2027-03-21;2027-04-20;2027-04-27;2027-04-30;700;1354050
P-88;La Paz;PCP;350hp;2027-03-30;2027-04-29;2027-05-06;2027-05-09;700;1354050
P-192;La Paz;PCP;350hp;2027-04-08;2027-05-08;2027-05-15;2027-05-18;700;1354050
